top10k,isbn,faust_number,title
11,11,47548764,tabita
10,10,38500775,den forsvundne soester
12,12,62591943,annas sang
13,13,39185474,kvaeler
14,14,52650690,ternet ninja 1
18,18,46282736,vinterland
20,20,47537339,ternet ninja 2
24,24,48671098,sallys far har mandeinfluenza
25,25,46897862,vaadeskud
30,30,61510141,vand til blomster
32,32,38380176,sallys far er en daarlig taber
33,33,46272048,offer 2117
31,31,38748424,kvinde set fra ryggen
36,36,27445098,ellen hillingsoe laeser ronja roeverdatter
38,38,47385555,skyggedanseren
40,40,39081253,sallys far bliver youtuber
42,42,53727999,sallys farboegerne
43,43,48487327,det er de danske som flygter
49,49,27444806,ellen hillingsoe laeser broedrene loevehjerte
52,52,61383921,imperiet
54,54,52557240,de syv soestre
58,58,46370678,det gyldne bur
62,62,134015012,skyggeriget
64,64,48295622,jeg kan se dig
65,65,61586725,barnet fra thy
68,68,27302963,otto er et naesehorn
72,72,54945094,moerket kalder
73,73,62267054,tre dage i april
76,76,54189141,maanesoesteren
78,78,134136391,11
79,79,29269815,den utrolige historie om den kaempestore paere
81,81,39055686,man skulle nok have vaeret der
82,82,48140122,forraederens boern
84,84,53802001,perlesoesteren
89,89,52970628,stormsoesteren
90,90,61431217,sallys far slaar til igen
91,91,53970303,villads fra valby i 0v
93,93,52386950,sallys far er sygt pinlig
95,95,54166265,kaerlighedsbrevet
97,97,54260180,sallys fars fede ferie
98,98,48039367,sallys far kringler julen
99,99,48004156,vaniljehuset
102,102,53259235,sallys far bander  ad helvede til
103,103,38714554,gopler aeldes baglaens
106,106,51363035,mimbo jimbo og den lange vinter
108,108,52263239,krokodillevogteren
109,109,51923367,sallys far gider ikke vaere voksen
110,110,61411437,vindens port
111,111,62600772,kryb
112,112,52889111,hvis der skulle komme et menneske forbi
114,114,47227232,sallys far kringler julen
115,115,48907431,bamser bomber og broedristere
121,121,48023738,verdens 100 klammeste dyr
122,122,51154355,den store prop og berta bog 2
124,124,39160358,undergravet
125,125,46746635,ternet ninja 2
127,127,47303087,flunkerne i hc andersens univers
129,129,39082713,gladiator
130,130,48106404,skammerens datter
131,131,47110173,stilleleg
135,135,62371455,noeglen til mord
145,145,28436246,karius og baktus
147,147,38808311,aarene
150,150,52445566,de stoerste fodboldlegender
151,151,38600443,moerket
153,153,62623357,hvor den sidste lygte lyser
155,155,54472404,da mumbo jumbo blev kaempestor
156,156,46718208,ternet ninja 2
163,163,54078714,en dag vil vi grine af det
164,164,38810928,vi er det liv vi lever
165,165,48488226,de stumme piger
167,167,62763671,sallys far faar fodboldfeber
169,169,48039383,en lykkelig slutning
170,170,51602099,dengang sallys far var dreng
173,173,39491923,det er de oproerske der svigter
175,175,134823658,atlas  historien om pa salt
178,178,54966563,flunkerne og fabeldyrene
179,179,51711610,broedrene loevehjerte
181,181,46955218,vitello oensker et oenske
184,184,26514053,min mormors gebis
185,185,47109345,hvor flodkrebsene synger
186,186,51975707,vitello gaar til pigefoedselsdag
188,188,38800329,den hemmelige arv
192,192,61395296,forsvundet i moerket
193,193,47364612,sallys far er langt ude i skoven
194,194,27302971,hodja fra pjort
199,199,53941079,omgivet af idioter
200,200,29302863,gummitarzan
201,201,47763231,det hele handler ikke om dig
204,204,47115523,flyvebogen  rejsen til monstrenes oe
205,205,53975542,glasvinge
206,206,46039696,om hundrede aar
208,208,27367992,da lille madsens hus blaeste vaek
210,210,55131562,vitello
211,211,54170238,villads fra valby som dyrepasser
212,212,47661404,moerket kalder
214,214,39098504,sallys far bliver youtuber
215,215,29572232,vitello passer mor
216,216,48015808,vitello begynder i skole
217,217,53462197,klovn
218,218,53681638,de 100 mest fantastiske fortidsdyr
219,219,48144853,hoejsangen fra palermovej
221,221,53284949,flunkernes danmarkshistorie
226,226,46718984,dengang sallys far var dreng
230,230,47186757,soldier blue
231,231,53970621,villads fra valby holder jul
234,234,48022456,aftentid og morgengry
236,236,48763987,stemmer fra graven
237,237,48275893,mysteriet i genbrugsen
238,238,48727204,brombaervinter
239,239,52384842,engletraeet
242,242,134005815,pige 1983
245,245,39490358,strik
249,249,62005424,skyggedalen
252,252,46938143,sallys far gider ikke vaere voksen
253,253,50507009,vitello goer en god gerning
254,254,51378040,vitello tigger en masse slik
256,256,48903576,kaerlighed
258,258,52090040,villads fra valby paa sommerferie
259,259,48698905,sallys far har mandeinfluenza
262,262,46807464,villads fra valby faar nye ideer
263,263,29249326,djaevelens laerling
266,266,38972618,stormfald
267,267,53749097,traktoren der saa gerne ville sove
268,268,46132718,find holger i eventyrland
270,270,48895999,bamser bomber og broedristere
272,272,48926533,groen aftensmad
273,273,46718992,sallys far er sygt pinlig
274,274,46499581,her var en mand
275,275,46712838,sallys far bander  ad helvede til
276,276,54467516,en dag vil vi grine af det
278,278,47039177,aftensmad
283,283,45937925,fodbold med flunkerne
284,284,46369998,gurli gris og den magiske enhjoerning
295,295,47892295,jan kjaers nomerne  skoenhedsdrikken
317,317,52304385,flunkerne hos dinosaurerne
324,324,54131623,paa sporet af flunkerne for fuld musik
337,337,53399169,jytte fra marketing er desvaerre gaaet for i dag
338,338,28280971,hvem har pruttet i lasseleifs bukser
347,347,28204787,villads fra valby i 0v
358,358,52423783,flunkerne i danmark
371,371,29088896,lyntyven
382,382,38276255,arabica
383,383,28487541,mere om os boern i bulderby
412,412,28720130,vi har det dejligt i bulderby
422,422,53530885,i ly for regnen
434,434,51214676,lasseleif og mormors nejhat
439,439,48148085,sommer i paris
441,441,52799171,superhelteflunkerne
444,444,47875668,vanaeret
446,446,53071066,flunkerne i middelalderen
452,452,29363153,bamse slut prut godnat
456,456,48254829,naeste
461,461,27404596,vitello oensker sig en hund
462,462,47864356,grydeklar
463,463,50699854,lasseleif og den virkelig vaemmelige makrelmad
465,465,48369456,en uventet forelskelse
473,473,50699935,lasseleif har verdens klammeste far
485,485,27262546,vitello ridser en bil
493,493,27654053,vitello moeder gud
498,498,46339231,saadan spiller du fortnite
506,506,48426255,biavlerens datter
510,510,53586910,gurli gris og de gyldne gummistoevler
517,517,51562577,godnat og sov godt
518,518,51989252,harry potter og de vises sten
521,521,38601571,det kolde guld
523,523,53342841,lasseleif samler paa det hele
549,549,51063376,wimpy kid bind 4
563,563,27487394,vitello bliver forretningsmand
567,567,54686307,ar
568,568,46957164,timeglasset
573,573,29299870,kick off
583,583,54862199,gurli gris  min mor
586,586,38808273,vejen til aebleriget
588,588,53614574,gurli gris paa cykeltur
590,590,54416199,gaabogen
611,611,61539093,nikis juleeventyr
614,614,47875161,gurli gris  min bedstefar
619,619,47875218,gurli gris  min bedstemor
624,624,27404588,vitello graver et hul
625,625,29363927,paa eventyr med prop  berta
633,633,134005963,det er de unge som forsvinder
636,636,52430119,wimpy kid bind 6
640,640,51980247,harry potter og de vises sten
646,646,27262481,vitello vil have en far
650,650,48787533,gurli gris faar besoeg af laegen
651,651,53746756,egostrik
653,653,52087546,elsk dig selv og bliv elsket
654,654,27487475,vitello gaar med kniv
