title,author,type,audience,genre,faust_numbers,isbns,n_loans
Meter i sekundet,Stine Pilgaard,Bog,voksenmaterialer,samfundssatire,48121543;38647253;48859305;99123358263105763,<NA>,67685
Hvor flodkrebsene synger,Delia Owens,Bog,voksenmaterialer,udviklingsromaner,47109353;39222353;47876729;99123305022705763;99122842896205763;99123801506205763,<NA>,65332
Opløst,"Sara Blædel,Mads Peder Nordbo",Bog,voksenmaterialer,krimi,39190001;99124057498505763;99123870794905763,<NA>,42045
Pigen under træet,Sara Blædel,Bog,voksenmaterialer,krimi,47051649;47606411;99123305384905763,<NA>,42834
Den tavse enke,Sara Blædel,Bog,voksenmaterialer,krimi,48648762,<NA>,41387
Satans sommer,"Kim Faber,Janni Pedersen (f. 1968)",Bog,voksenmaterialer,"krimi,politiromaner",47678633;61745955;38339346;99123914999305763;99123440325405763;99123359184605763,<NA>,40309
Natrium Chlorid,Jussi Adler-Olsen,Bog,voksenmaterialer,"krimi,politiromaner",39615495,<NA>,38080
Solsøsteren,Lucinda Riley,Bog,voksenmaterialer,slægtsromaner,46656172;99123897816505763,<NA>,37515
Den forsvundne søster,Lucinda Riley,Bog,voksenmaterialer,slægtsromaner,38500775;135126209;99121919926705763;99123895807505763,<NA>,39733
Tabita,Iben Mondrup,Bog,voksenmaterialer,samfundsskildringer,47548764;48596568;99123305429405763;991001020419803861,<NA>,36941
Annas sang,Benjamin Koppel,Bog,voksenmaterialer,skønlitteratur,62591943;22216597;62799048;99124090981505763;99122982201005763,<NA>,36614
Kvæler,"Kim Faber,Janni Pedersen (f. 1968)",Bog,voksenmaterialer,"krimi,politiromaner",39185474;134575174,<NA>,36198
Søstrene fra Thy,Maria Helleberg,Bog,voksenmaterialer,slægtsromaner,54189214;47700485;99123305660805763;99124111738105763,<NA>,34611
Sallys far er langt ude i skoven,Thomas Brunstrøm,Billedbog,børnematerialer,sjove bøger,46670051,<NA>,34386
Sommerfugleværelset,Lucinda Riley,Bog,voksenmaterialer,slægtsromaner,47073367,<NA>,34304
Vinterland,"Kim Faber,Janni Pedersen (f. 1968)",Bog,voksenmaterialer,"krimi,politiromaner",46282736;48818161;46670779;99122911886105763;99122522788905763;99123520480205763,<NA>,33869
Pigen fra det store hvide skib,"Jesper Bugge Kold,Mich Vraa",Bog,voksenmaterialer,historiske romaner,38609718;135063916;99123664483605763;99124146957005763,<NA>,33445
Mysteriet i Genbrugsen,Anna Grue,Bog,voksenmaterialer,"krimi,kriminalsager",47684323;39067587;99123331906805763;99123801570205763,<NA>,32666
Isola,Katrine Engberg,Bog,voksenmaterialer,"krimi,politiromaner",48648797;25897102;48984878;99123520472305763,<NA>,31683
Sallys far har mandeinfluenza,Thomas Brunstrøm,Billedbog,børnematerialer,"løgnehistorier,sjove bøger",48671098;99123474430005763,<NA>,31111
Vådeskud,Katrine Engberg,Bog,voksenmaterialer,"krimi,politiromaner",46897862;48344038,<NA>,30436
Hvide blomster,Sissel-Jo Gazan,Bog,voksenmaterialer,udviklingsromaner,48839703;99123485144605763;99123832538305763,<NA>,30007
Mord på kostskolen,Lucinda Riley,Bog,voksenmaterialer,skønlitteratur,62199733;99124062330705763,<NA>,29969
Nattens udyr,Michael Katz Krefeld,Bog,voksenmaterialer,krimi,48839797,<NA>,29764
Vand til blomster,Valérie Perrin,Bog,voksenmaterialer,"dagbøger,dannelsesromaner",61510141;135638838,<NA>,29737
Kvinde set fra ryggen,Jesper Wung-Sung,Bog,voksenmaterialer,"biografiske romaner,historiske romaner",38748424;61912398;99123742066605763,<NA>,29729
Sallys far er en dårlig taber,Thomas Brunstrøm,Billedbog,børnematerialer,"løgnehistorier,sjove bøger",38380176,<NA>,29365
Offer 2117,Jussi Adler-Olsen,Bog,voksenmaterialer,"krimi,politiromaner",46272048;46926862;99122859739305763;99122988598905763,<NA>,29454
Helenas hemmelighed,Lucinda Riley,Bog,voksenmaterialer,slægtsromaner,46411005;38484842;99123649357605763,<NA>,28754
Skyggedanseren,Sara Omar,Bog,voksenmaterialer,samfundskritik,47385555;47606438;48976344;47720672,<NA>,31058
Sallys far bliver youtuber,Thomas Brunstrøm,Billedbog,børnematerialer,sjove bøger,39081253;99123792457505763,<NA>,28393
Kaptajnen og Ann Barbara,Ida Jessen (f. 1964),Bog,voksenmaterialer,"historiske romaner,landliv",48888445;38656147;99123532513805763;9920911068705762;99123801941605763;2627022,<NA>,28418
Det er de danske som flygter,"Lise Ringhof,Erik Valeur",Bog,voksenmaterialer,"historiske romaner,samfundsskildringer,slægtsromaner",48487327;99123456855705763;9920896968205762,<NA>,27901
Som natten kender stjernerne,Elsebeth Egholm,Bog,voksenmaterialer,skønlitteratur,48488161,<NA>,27846
"Indtil vanvid, indtil døden",Kirsten Thorup,Bog,voksenmaterialer,skønlitteratur,47588529;62768037;99123331902705763;99123355219705763,<NA>,27063
Rampen,Jesper Stein,Bog,voksenmaterialer,"biografiske romaner,udviklingsromaner",48839711;39322676;99123542594105763;99123820345405763;2627021,<NA>,27053
Skytsengel,Michael Katz Krefeld,Bog,voksenmaterialer,krimi,47079888;61602054;99123313462105763,<NA>,26762
Ræk mig stjernerne,Jojo Moyes,Bog,voksenmaterialer,skønlitteratur,46831438;38519743;99122777825705763;39450666,<NA>,26189
En lykkelig slutning,Maren Uthaug,Bog,voksenmaterialer,slægtsromaner,47239893;99123304117005763;2555464,<NA>,25705
Imperiet,Michael Katz Krefeld,Bog,voksenmaterialer,skønlitteratur,61383921;54198205;20759704;24967379;21783803;99122851306805763;99122311491505763;99122267252505763,<NA>,25793
De syv søstre,Lucinda Riley,Bog,voksenmaterialer,slægtsromaner,52557240;53292968;46615743;99122333663305763;05082587;99121998114705763;99122716651305763;99122911812905763;99122344727705763,<NA>,29378
Elins død,Sara Blædel,Bog,voksenmaterialer,krimi,134692448,<NA>,25231
Vinger af sølv,Camilla Läckberg,Bog,voksenmaterialer,"psykologisk thriller,spænding",48486789;61744428,<NA>,25014
