title,author,type,audience,genre,faust_numbers,isbns,n_loans,top10k
Meter i sekundet,Stine Pilgaard,Bog,voksenmaterialer,samfundssatire,48121543;38647253;48859305,99123358263105763,67685,1
Hvor flodkrebsene synger,Delia Owens,Bog,voksenmaterialer,udviklingsromaner,47109353;39222353;47876729,99123305022705763;99122842896205763;99123801506205763,65332,2
Opløst,"Sara Blædel,Mads Peder Nordbo",Bog,voksenmaterialer,krimi,39190001,99124057498505763;99123870794905763,42045,3
Pigen under træet,Sara Blædel,Bog,voksenmaterialer,krimi,47051649;47606411,99123305384905763,42834,4
Den tavse enke,Sara Blædel,Bog,voksenmaterialer,krimi,48648762,,41387,5
Satans sommer,"Kim Faber,Janni Pedersen (f. 1968)",Bog,voksenmaterialer,"krimi,politiromaner",47678633;61745955;38339346,99123914999305763;99123440325405763;99123359184605763,40309,6
Natrium Chlorid,Jussi Adler-Olsen,Bog,voksenmaterialer,"krimi,politiromaner",39615495,,38080,7
Solsøsteren,Lucinda Riley,Bog,voksenmaterialer,slægtsromaner,46656172,99123897816505763,37515,8
Den forsvundne søster,Lucinda Riley,Bog,voksenmaterialer,slægtsromaner,38500775;135126209,99121919926705763;99123895807505763,39733,9
Tabita,Iben Mondrup,Bog,voksenmaterialer,samfundsskildringer,47548764;48596568,99123305429405763;991001020419803861,36941,10
Annas sang,Benjamin Koppel,Bog,voksenmaterialer,skønlitteratur,62591943;22216597;62799048,99124090981505763;99122982201005763,36614,11
Kvæler,"Kim Faber,Janni Pedersen (f. 1968)",Bog,voksenmaterialer,"krimi,politiromaner",39185474;134575174,,36198,12
Søstrene fra Thy,Maria Helleberg,Bog,voksenmaterialer,slægtsromaner,54189214;47700485,99123305660805763;99124111738105763,34611,13
Sallys far er langt ude i skoven,Thomas Brunstrøm,Billedbog,børnematerialer,sjove bøger,46670051,,34386,14
Sommerfugleværelset,Lucinda Riley,Bog,voksenmaterialer,slægtsromaner,47073367,,34304,15
Vinterland,"Kim Faber,Janni Pedersen (f. 1968)",Bog,voksenmaterialer,"krimi,politiromaner",46282736;48818161;46670779,99122911886105763;99122522788905763;99123520480205763,33869,16
Pigen fra det store hvide skib,"Jesper Bugge Kold,Mich Vraa",Bog,voksenmaterialer,historiske romaner,38609718;135063916,99123664483605763;99124146957005763,33445,17
Mysteriet i Genbrugsen,Anna Grue,Bog,voksenmaterialer,"krimi,kriminalsager",47684323;39067587,99123331906805763;99123801570205763,32666,18
Isola,Katrine Engberg,Bog,voksenmaterialer,"krimi,politiromaner",48648797;25897102;48984878,99123520472305763,31683,19
Sallys far har mandeinfluenza,Thomas Brunstrøm,Billedbog,børnematerialer,"løgnehistorier,sjove bøger",48671098,99123474430005763,31111,20
Vådeskud,Katrine Engberg,Bog,voksenmaterialer,"krimi,politiromaner",46897862;48344038,,30436,21
Hvide blomster,Sissel-Jo Gazan,Bog,voksenmaterialer,udviklingsromaner,48839703,99123485144605763;99123832538305763,30007,22
Mord på kostskolen,Lucinda Riley,Bog,voksenmaterialer,skønlitteratur,62199733,99124062330705763,29969,23
Nattens udyr,Michael Katz Krefeld,Bog,voksenmaterialer,krimi,48839797,,29764,24
Vand til blomster,Valérie Perrin,Bog,voksenmaterialer,"dagbøger,dannelsesromaner",61510141;135638838,,29737,25
Kvinde set fra ryggen,Jesper Wung-Sung,Bog,voksenmaterialer,"biografiske romaner,historiske romaner",38748424;61912398,99123742066605763,29729,26
Sallys far er en dårlig taber,Thomas Brunstrøm,Billedbog,børnematerialer,"løgnehistorier,sjove bøger",38380176,,29365,27
Offer 2117,Jussi Adler-Olsen,Bog,voksenmaterialer,"krimi,politiromaner",46272048;46926862,99122859739305763;99122988598905763,29454,28
Helenas hemmelighed,Lucinda Riley,Bog,voksenmaterialer,slægtsromaner,46411005;38484842,99123649357605763,28754,29
Skyggedanseren,Sara Omar,Bog,voksenmaterialer,samfundskritik,47385555;47606438;48976344;47720672,,31058,30
Sallys far bliver youtuber,Thomas Brunstrøm,Billedbog,børnematerialer,sjove bøger,39081253,99123792457505763,28393,31
Kaptajnen og Ann Barbara,Ida Jessen (f. 1964),Bog,voksenmaterialer,"historiske romaner,landliv",48888445;38656147;2627022,99123532513805763;9920911068705762;99123801941605763,28418,32
Det er de danske som flygter,"Lise Ringhof,Erik Valeur",Bog,voksenmaterialer,"historiske romaner,samfundsskildringer,slægtsromaner",48487327,99123456855705763;9920896968205762,27901,33
Som natten kender stjernerne,Elsebeth Egholm,Bog,voksenmaterialer,skønlitteratur,48488161,,27846,34
"Indtil vanvid, indtil døden",Kirsten Thorup,Bog,voksenmaterialer,skønlitteratur,47588529;62768037,99123331902705763;99123355219705763,27063,35
Rampen,Jesper Stein,Bog,voksenmaterialer,"biografiske romaner,udviklingsromaner",48839711;39322676;2627021,99123542594105763;99123820345405763,27053,36
Skytsengel,Michael Katz Krefeld,Bog,voksenmaterialer,krimi,47079888;61602054,99123313462105763,26762,37
Ræk mig stjernerne,Jojo Moyes,Bog,voksenmaterialer,skønlitteratur,46831438;38519743;39450666,99122777825705763,26189,38
En lykkelig slutning,Maren Uthaug,Bog,voksenmaterialer,slægtsromaner,47239893;2555464,99123304117005763,25705,39
Imperiet,Michael Katz Krefeld,Bog,voksenmaterialer,skønlitteratur,61383921;54198205;20759704;24967379;21783803,99122851306805763;99122311491505763;99122267252505763,25793,40
De syv søstre,Lucinda Riley,Bog,voksenmaterialer,slægtsromaner,52557240;53292968;46615743;05082587,99122333663305763;99121998114705763;99122716651305763;99122911812905763;99122344727705763,29378,41
Elins død,Sara Blædel,Bog,voksenmaterialer,krimi,134692448,,25231,42
Vinger af sølv,Camilla Läckberg,Bog,voksenmaterialer,"psykologisk thriller,spænding",48486789;61744428,,25014,43
Kvinderne fra Thy,Maria Helleberg,Bog,voksenmaterialer,"landliv,slægtsromaner",52673542;62616822;53231799,99124111753905763;99122537113305763,24937,44
Det gyldne bur,Camilla Läckberg,Bog,voksenmaterialer,"domestic noir,psykologisk thriller",46370678;27687490;48352111;28757204,99122500845205763;99122977283205763;99123419305805763,25316,45
Vildskud,Julie Hastrup,Bog,voksenmaterialer,"femikrimi,krimi",47763509;46733924;06162223;25755510;61744495;10337682,99122979497605763;99122792270705763;99123914743705763,25097,46
Frank vender hjem,Kristian Bang Foss,Bog,voksenmaterialer,skønlitteratur,46944569;47219043,99122808245505763;99124123659505763;99123304165605763,24114,47
Det brændende blad,Katrine Engberg,Bog,voksenmaterialer,krimi,134490012,,24004,48
