faust_number,isbn,book_title,book_author,isbn_scraped,top10k
48121543,,Meter i sekundet,Stine Pilgaard,9788743406709,1
47109353,,Hvor flodkrebsene synger,Delia Owens,9788702298116,2
39190001,,Opløst,"Sara Blædel,Mads Peder Nordbo",9788740077360,3
53132286,9788763849753.0,Ternet Ninja. 1,Anders Matthesen,9788763859646,4
47051649,,Pigen under træet,Sara Blædel,9788740069679,5
48648762,,Den tavse enke,Sara Blædel,9788740080612,6
47678633,,Satans sommer,"Kim Faber,Janni Pedersen (f. 1968)",9788740068320,7
39615495,,Natrium Chlorid,Jussi Adler-Olsen,9788740087710,8
46656172,,Solsøsteren,Lucinda Riley,9788702310948,9
38500775,,Den forsvundne søster,Lucinda Riley,,10
47548764,,Tabita,Iben Mondrup,,11
62591943,,Annas sang,Benjamin Koppel,,12
39185474,,Kvæler,"Kim Faber,Janni Pedersen (f. 1968)",,13
54189214,,Søstrene fra Thy,Maria Helleberg,9788702361124,15
46670051,,Sallys far er langt ude i skoven,Thomas Brunstrøm,9788711912492,16
47073367,,Sommerfugleværelset,Lucinda Riley,9788702314151,17
46282736,,Vinterland,"Kim Faber,Janni Pedersen (f. 1968)",,18
38609718,,Pigen fra det store hvide skib,"Jesper Bugge Kold,Mich Vraa",9788727008868,19
47537339,9788763862042.0,Ternet Ninja. 2,Anders Matthesen,,20
47684323,,Mysteriet i Genbrugsen,Anna Grue,9788711998083,21
53900208,9788771655155.0,Kaninen der så gerne ville sove,Carl-Johan Forssén Ehrlin,9788771653724,22
48648797,,Isola,Katrine Engberg,9788772392059,23
48671098,,Sallys far har mandeinfluenza,Thomas Brunstrøm,,24
46897862,,Vådeskud,Katrine Engberg,,25
48839703,,Hvide blomster,Sissel-Jo Gazan,9788740079630,26
62199733,,Mord på kostskolen,Lucinda Riley,9788702356915,27
51088077,9788711382462.0,Den store Prop og Berta bog. 1,Bent Solhof,9788711385388,28
48839797,,Nattens udyr,Michael Katz Krefeld,9788727018829,29
